,nA1,steps,nA2,age,social,neigh10,reprod,food,death,mutation_rate,time,combination,start_cog,round
183,19795.0,183,1200.0,15.445,0.03218540615517496,1.0029029133078609,0.013513513513513514,0.0,0.0,0.025,24985.76765155792,7,100.0,1
184,19940.0,184,1232.0,16.017857142857142,0.03122634136185297,1.0034791234112923,0.02666666666666667,0.0,0.0,0.025,24985.76765155792,7,100.0,1
185,20049.0,185,1248.0,16.799679487179485,0.030502635561319293,0.9995930206786144,0.012987012987012988,0.0,0.0,0.025,24985.76765155792,7,100.0,1
186,20117.0,186,1248.0,17.799679487179485,0.030287837326942225,1.0002266415357055,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
187,20153.0,187,1248.0,18.799679487179485,0.030287837326942138,1.0012942452724225,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
188,20177.0,188,1248.0,19.799679487179485,0.030287837326942176,0.9996042397408444,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
189,20200.0,189,1252.0,20.733226837060705,0.03019107107350145,1.001076954311075,0.003205128205128205,0.0,0.0,0.025,24985.76765155792,7,100.0,1
190,20252.0,190,1264.0,21.52689873417721,0.031039796578184342,1.0013164224628237,0.009584664536741214,0.0,0.0,0.025,24985.76765155792,7,100.0,1
191,20346.0,191,1276.0,22.315047021943574,0.03406192506593195,0.9988991451357102,0.00949367088607595,0.0,0.0,0.025,24985.76765155792,7,100.0,1
192,20425.0,192,1416.0,21.00988700564972,0.03372943393514874,1.0005787314126469,0.10971786833855804,0.0,0.0,0.025,24985.76765155792,7,100.0,1
193,20506.0,193,1824.0,17.086622807017545,0.029177437473403043,0.9999384236283108,0.288135593220339,0.0,0.0,0.025,24985.76765155792,7,100.0,1
194,20551.0,194,2232.0,14.780465949820789,0.028663170197391164,1.0001640272768229,0.2236842105263158,0.0,0.0,0.025,24985.76765155792,7,100.0,1
195,20581.0,195,2384.0,14.774328859060402,0.031066707153622843,1.0020062789947644,0.06810035842293907,0.0,0.0,0.025,24985.76765155792,7,100.0,1
196,20594.0,196,2432.0,15.462993421052632,0.031819832757349946,1.0003073958373394,0.020134228187919462,0.0,0.0,0.025,24985.76765155792,7,100.0,1
197,20618.0,197,2480.0,16.144354838709678,0.031053841373631787,1.0011611241801457,0.01973684210526316,0.0,0.0,0.025,24985.76765155792,7,100.0,1
198,20664.0,198,2496.0,17.034455128205128,0.030608256861606817,1.000860111943371,0.0064516129032258064,0.0,0.0,0.025,24985.76765155792,7,100.0,1
199,20720.0,199,2496.0,18.034455128205128,0.03048681561284888,1.0004292554591578,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
200,20791.0,200,2496.0,19.034455128205128,0.030486815612848838,0.9996471596634814,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
201,20835.0,201,2496.0,20.034455128205128,0.03048681561284888,1.0020685643086158,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
202,20871.0,202,2504.0,20.967252396166135,0.030389413646034643,1.00154318342654,0.003205128205128205,0.0,0.0,0.025,24985.76765155792,7,100.0,1
203,20887.0,203,2528.0,21.758702531645564,0.031248513593664838,1.0005063937626035,0.009584664536741214,0.0,0.0,0.025,24985.76765155792,7,100.0,1
204,20901.0,204,2688.0,21.404017857142858,0.03252205321045839,1.0001179109205087,0.06329113924050632,0.0,0.0,0.025,24985.76765155792,7,100.0,1
205,20923.0,205,3240.0,18.58703703703704,0.030853329892916236,1.001209683743475,0.20535714285714285,0.0,0.0,0.025,24985.76765155792,7,100.0,1
206,20952.0,206,4056.0,15.646449704142013,0.029057423456745682,1.0024758387197668,0.2518518518518518,0.0,0.0,0.025,24985.76765155792,7,100.0,1
207,20977.0,207,4600.0,14.677826086956522,0.03031801431696114,1.0010939110123929,0.1341222879684418,0.0,0.0,0.025,24985.76765155792,7,100.0,1
